state,district,cluster,cluster_label,mgnrega_gap_pct,health_insurance_gap_pct,combined_gap_score
assam,majuli,1,Moderate-gap Rural,15.863550075741593,39.2,27.531775037870798
assam,morigaon,1,Moderate-gap Rural,11.658089818866046,37.5,24.579044909433023
assam,nagaon,1,Moderate-gap Rural,8.835348474924318,40.6,24.71767423746216
assam,nalbari,1,Moderate-gap Rural,8.567901935190966,47.5,28.033950967595484
assam,sivasagar,1,Moderate-gap Rural,12.540226038153612,39.3,25.920113019076805
assam,sonitpur,1,Moderate-gap Rural,11.658089818866046,33.099999999999994,22.37904490943302
assam,south salmara mancachar,1,Moderate-gap Rural,12.323054976407334,31.799999999999997,22.061527488203666
assam,tinsukia,1,Moderate-gap Rural,14.82729089351984,40.0,27.413645446759922
assam,udalguri,1,Moderate-gap Rural,6.7246471310217855,29.400000000000006,18.062323565510894
assam,west karbi anglong,1,Moderate-gap Rural,8.511745862253061,36.9,22.705872931126528
bihar,araria,0,High-gap Rural Low-literacy,19.9997766947473,80.5,50.24988834737365
bihar,arwal,0,High-gap Rural Low-literacy,18.45735232984392,84.4,51.42867616492197
bihar,aurangabad,0,High-gap Rural Low-literacy,12.314287146748667,84.6,48.45714357337433
bihar,banka,0,High-gap Rural Low-literacy,20.242152337402757,86.4,53.32107616870138
bihar,begusarai,0,High-gap Rural Low-literacy,18.275738449337865,86.8,52.53786922466893
bihar,bhagalpur,0,High-gap Rural Low-literacy,22.1842583187121,83.7,52.94212915935605
bihar,bhojpur,0,High-gap Rural Low-literacy,30.275280275280274,90.4,60.337640137640136
bihar,buxar,0,High-gap Rural Low-literacy,20.3214803927111,88.6,54.460740196355545
bihar,darbhanga,0,High-gap Rural Low-literacy,21.397170880387637,74.7,48.04858544019382
bihar,gaya,0,High-gap Rural Low-literacy,17.420587838269878,90.3,53.86029391913494
bihar,gopalganj,0,High-gap Rural Low-literacy,29.81715487803121,87.3,58.55857743901561
bihar,jamui,0,High-gap Rural Low-literacy,16.114934139644806,85.7,50.9074670698224
bihar,jehanabad,0,High-gap Rural Low-literacy,12.078044357650999,86.8,49.439022178825496
bihar,kaimur (bhabua),0,High-gap Rural Low-literacy,16.542085317943194,81.9,49.2210426589716
bihar,katihar,0,High-gap Rural Low-literacy,23.42840245851433,91.6,57.51420122925716
bihar,khagaria,0,High-gap Rural Low-literacy,34.70006522237304,84.4,59.55003261118652
bihar,kishanganj,0,High-gap Rural Low-literacy,15.611472199004478,91.9,53.75573609950224
bihar,lakhisarai,0,High-gap Rural Low-literacy,15.41022058950346,84.9,50.155110294751736
bihar,madhepura,0,High-gap Rural Low-literacy,18.019979591438805,90.5,54.259989795719406
bihar,madhubani,0,High-gap Rural Low-literacy,17.250140084560133,80.8,49.02507004228006
bihar,munger,0,High-gap Rural Low-literacy,20.783629591211277,84.8,52.79181479560564
bihar,muzaffarpur,0,High-gap Rural Low-literacy,22.814704269187107,86.8,54.80735213459355
bihar,nalanda,0,High-gap Rural Low-literacy,10.95357559170848,87.2,49.076787795854244
bihar,nawada,0,High-gap Rural Low-literacy,13.564481774705623,91.9,52.732240887352816
bihar,pashchim champaran,0,High-gap Rural Low-literacy,20.52431837582664,80.0,50.26215918791332
bihar,patna,0,High-gap Rural Low-literacy,15.392863707849106,89.8,52.59643185392455
bihar,purba champaran,0,High-gap Rural Low-literacy,15.717352160245781,80.6,48.15867608012289
bihar,purnia,0,High-gap Rural Low-literacy,15.624131220461496,89.8,52.712065610230745
bihar,rohtas,0,High-gap Rural Low-literacy,17.793188684427356,82.8,50.29659434221368
bihar,saharsa,0,High-gap Rural Low-literacy,13.090182363227578,87.2,50.14509118161379
bihar,samastipur,0,High-gap Rural Low-literacy,25.42631638384996,81.0,53.21315819192498
bihar,saran,0,High-gap Rural Low-literacy,19.508481225605255,90.6,55.05424061280262
